Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
neuro-mesh-chair,Neuro Mesh Chair,<p>High-performance Atlas mesh chair with superior ergonomic design and premium build quality. Features enhanced breathability and maximum comfort for demanding work environments.</p><ul><li>3D adjustable armrests</li><li>Synchro-tilt mechanism</li><li>Adjustable headrest</li><li>Premium mesh fabric</li><li>High-load capacity frame</li><li>Anti-fatigue lumbar curve</li></ul>,HeavenCraft,Mesh Chair,"Chairs, Mesh Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-mesh-004,,,,continue,manual,13999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/mesh-chair/4%20-%20Neuro.jpeg,1,Neuro Mesh Chair — mesh chair by HeavenCraft,Neuro Mesh Chair,High-performance Atlas mesh chair with superior ergonomic design and premium build quality. Features enhanced breathability and maximum comfort for dema…,active
zynx-mesh-chair,Zynx Mesh Chair,<p>Premium mesh chair with advanced lumbar support and adjustable headrest. Designed for professionals who value comfort and productivity.</p><ul><li>3D adjustable armrests</li><li>Synchro-tilt mechanism</li><li>Adjustable headrest</li><li>Premium mesh fabric</li><li>Ergonomic lumbar support</li><li>Height adjustable gas lift</li></ul>,HeavenCraft,Mesh Chair,"Chairs, Mesh Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-mesh-005,,,,continue,manual,15999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/mesh-chair/5%20-%20Zynx.jpeg,1,Zynx Mesh Chair — mesh chair by HeavenCraft,Zynx Mesh Chair,Premium mesh chair with advanced lumbar support and adjustable headrest. Designed for professionals who value comfort and productivity.,active
xyron-mesh-chair,Xyron Mesh Chair,"<p>Next-generation Xyron mesh chair engineered for maximum comfort and style. Features ultra-breathable dual-layer mesh, full 4D armrest control, and an innovative self-adjusting lumbar system for unmatched all-day support.</p><ul><li>Dual-layer ultra-breathable mesh</li><li>4D adjustable armrests</li><li>Self-adjusting lumbar system</li><li>Recline lock with tilt tension</li><li>Adjustable headrest with neck cushion</li><li>Heavy-duty aluminium base</li></ul>",HeavenCraft,Mesh Chair,"Chairs, Mesh Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-mesh-006,,,,continue,manual,17999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/mesh-chair/6%20-%20Xyron.jpeg,1,Xyron Mesh Chair — mesh chair by HeavenCraft,Xyron Mesh Chair,"Next-generation Xyron mesh chair engineered for maximum comfort and style. Features ultra-breathable dual-layer mesh, full 4D armrest control, and an in…",active
rider-leather-chair,Rider Leather Chair,<p>Luxurious high-back leather chair with extra padding and sophisticated design. Perfect for executive offices and boardrooms.</p><ul><li>Genuine leather upholstery</li><li>Extra cushioning</li><li>Tilt tension control</li><li>Polished aluminum base</li><li>Adjustable lumbar support</li><li>Executive high-back design</li></ul>,HeavenCraft,Leather Chair,"Chairs, Leather Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-leather-002,,,,continue,manual,12999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/leather-chair/2%20-%20Rider.jpeg,1,Rider Leather Chair — leather chair by HeavenCraft,Rider Leather Chair,Luxurious high-back leather chair with extra padding and sophisticated design. Perfect for executive offices and boardrooms.,active
nexor-leather-chair,Nexor Leather Chair,<p>Sophisticated Nexor leather executive chair combining modern aesthetics with traditional comfort. Premium leather upholstery with ergonomic support for professional settings.</p><ul><li>Premium leather upholstery</li><li>360° swivel</li><li>Height adjustment</li><li>Heavy-duty base</li><li>Modern aesthetic design</li><li>Ergonomic seat contour</li></ul>,HeavenCraft,Leather Chair,"Chairs, Leather Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-leather-003,,,,continue,manual,13999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/leather-chair/3%20-%20Nexor.jpeg,1,Nexor Leather Chair — leather chair by HeavenCraft,Nexor Leather Chair,Sophisticated Nexor leather executive chair combining modern aesthetics with traditional comfort. Premium leather upholstery with ergonomic support for…,active
valerio-leather-chair,Valerio Leather Chair,<p>Sophisticated Nexor leather executive chair combining modern aesthetics with traditional comfort. Premium leather upholstery with ergonomic support for professional settings.</p><ul><li>Premium leather upholstery</li><li>360° swivel</li><li>Height adjustment</li><li>Heavy-duty base</li><li>Modern aesthetic design</li><li>Ergonomic seat contour</li></ul>,HeavenCraft,Leather Chair,"Chairs, Leather Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-leather-005,,,,continue,manual,15999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/leather-chair/5%20-%20Valerio.jpeg,1,Valerio Leather Chair — leather chair by HeavenCraft,Valerio Leather Chair,Sophisticated Nexor leather executive chair combining modern aesthetics with traditional comfort. Premium leather upholstery with ergonomic support for…,active
fabio-fabric-chair,Fabio Fabric Chair,<p>Comfortable Fabio fabric chair with soft upholstery and modern design. Breathable fabric material ensures comfort during long working hours with ergonomic support.</p><ul><li>Soft fabric upholstery</li><li>Ergonomic design</li><li>Breathable material</li><li>Sturdy construction</li><li>Height adjustable seat</li><li>360° smooth swivel</li></ul>,HeavenCraft,Fabric Chair,"Chairs, Fabric Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-fabric-001,,,,continue,manual,10999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/fabric-chair/1%20-%20Fabio.jpeg,1,Fabio Fabric Chair — fabric chair by HeavenCraft,Fabio Fabric Chair,Comfortable Fabio fabric chair with soft upholstery and modern design. Breathable fabric material ensures comfort during long working hours with ergonom…,active
casca-fabric-chair,Casca Fabric Chair,<p>Premium Casca fabric chair with luxurious upholstery and superior comfort. Designed with high-quality fabric and ergonomic support for all-day comfort.</p><ul><li>Luxury fabric upholstery</li><li>Enhanced lumbar support</li><li>Adjustable components</li><li>Durable construction</li><li>Multi-function tilt mechanism</li><li>Padded seat cushion</li></ul>,HeavenCraft,Fabric Chair,"Chairs, Fabric Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-fabric-003,,,,continue,manual,12999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/fabric-chair/3%20-%20Casca.jpeg,1,Casca Fabric Chair — fabric chair by HeavenCraft,Casca Fabric Chair,Premium Casca fabric chair with luxurious upholstery and superior comfort. Designed with high-quality fabric and ergonomic support for all-day comfort.,active
niyo-fabric-chair,Niyo Fabric Chair,<p>Stylish Niyo fabric chair featuring premium upholstery and contemporary design. Offers excellent comfort with durable fabric material and adjustable features.</p><ul><li>Premium fabric upholstery</li><li>Adjustable height</li><li>Comfortable padding</li><li>Modern design</li><li>Tilt tension control</li><li>Durable nylon base</li></ul>,HeavenCraft,Fabric Chair,"Chairs, Fabric Chairs, Ergonomic, Delhi",TRUE,Title,Default Title,chair-fabric-005,,,,continue,manual,15999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/chairs/fabric-chair/5%20-%20Niyo.jpeg,1,Niyo Fabric Chair — fabric chair by HeavenCraft,Niyo Fabric Chair,Stylish Niyo fabric chair featuring premium upholstery and contemporary design. Offers excellent comfort with durable fabric material and adjustable fea…,active
flexon-bed-table,Flexon Bed Table,<p>Premium Flex Primex bed table with multiple adjustment options and extra storage. Features drawer compartment and phone/tablet stand for ultimate convenience.</p><ul><li>Storage drawer</li><li>Multiple adjustments</li><li>Device stand</li><li>Premium finish</li><li>Tiltable surface</li><li>Built-in cup holder</li></ul>,HeavenCraft,Bed Table,"Tables, Bed Tables, Ergonomic, Delhi",TRUE,Title,Default Title,table-bed-003,,,,continue,manual,2999.00,TRUE,TRUE,kg,https://theheavencraft.in/images/products/tables/bed-table/3%20-%20Flexon.jpeg,1,Flexon Bed Table — bed table by HeavenCraft,Flexon Bed Table,Premium Flex Primex bed table with multiple adjustment options and extra storage. Features drawer compartment and phone/tablet stand for ultimate conven…,active
